J1,J2,Gana,Gana 1ยบ Set,Sets
Alexander Zverev,Novak Djokovic,Novak Djokovic,Novak Djokovic, 2 - 0 Novak Djokovic 
Melichar Martinez Perez,Parks Townsend,Parks &amp; Townsend,Parks &amp; Townsend, 2 - 0 Parks &amp; Townsend 
Caroline Garcia,Linda Fruhvirtova,Caroline Garcia,Caroline Garcia, 2 - 0 Caroline Garcia 
Sloane Stephens,Julia Grabher,Sloane Stephens,Sloane Stephens, 2 - 0 Sloane Stephens 
Lin Zhu,Anna Blinkova,Anna Blinkova,Lin Zhu, 2 - 1 Anna Blinkova
Ekaterina Alexandrova,Patricia Maria Tig,Ekaterina Alexandrova,Ekaterina Alexandrova, 2 - 0 Ekaterina Alexandrova 
Emma Navarro,Jasmine Paolini,Jasmine Paolini,Emma Navarro, 2 - 1 Jasmine Paolini
Irina Camelia Begu,Mayar Sherif,Irina-Camelia Begu,Irina-Camelia Begu, 2 - 0 Irina-Camelia Begu 
Elisabetta Cocciaretto,Lauren Davis,Elisabetta Cocciaretto,Elisabetta Cocciaretto, 2 - 0 Elisabetta Cocciaretto 
Mirra Andreeva,Venus Williams,Mirra Andreeva,Mirra Andreeva, 2 - 0 Mirra Andreeva 
Anhelina Kalinina,Ana Bogdan,Anhelina Kalinina,Anhelina Kalinina, 2 - 0 Anhelina Kalinina 
Tatjana Maria,Varvara Gracheva,Varvara Gracheva,Tatjana Maria, 2 - 1 Varvara Gracheva
Linda Noskova,Leylah Fernandez,Linda Noskova,Linda Noskova, 2 - 0 Linda Noskova 
Coco Gauff,Karolina Muchova,Coco Gauff,Coco Gauff, 2 - 0 Coco Gauff 
Roman Safiullin,Juan Manuel Cerundolo,Roman Safiullin,Roman Safiullin, 2 - 0 Roman Safiullin 
Arthur Rinderknech,Dominic Thiem,Dominic Thiem,Dominic Thiem, 2 - 0 Dominic Thiem 
Facundo D Acosta,Quentin Halys,Quentin Halys,Quentin Halys, 2 - 0 Quentin Halys 
Alex Michelsen,Juan Pablo Varillas,Alex Michelsen,Alex Michelsen, 2 - 0 Alex Michelsen 
Radu Albot,Daniel Elahi Galan,Daniel Elahi Galan,Daniel Elahi Galan, 2 - 0 Daniel Elahi Galan 
Brandon Nakashima,Jason Kubler,Brandon Nakashima,Brandon Nakashima, 2 - 0 Brandon Nakashima 
Alexander Shevchenko,Marc Andrea Huesler,Alexander Shevchenko,Alexander Shevchenko, 2 - 0 Alexander Shevchenko 
Zhizhen Zhang,Ilya Ivashka,Zhizhen Zhang,Zhizhen Zhang, 2 - 0 Zhizhen Zhang 
Alexandre Muller,Benjamin Bonzi,Alexandre Muller,Alexandre Muller, 2 - 0 Alexandre Muller 
Dominik Koepfer,Constant Lestienne,Dominik Koepfer,Dominik Koepfer, 2 - 0 Dominik Koepfer 
Max Purcell,Marco Cecchinato,Max Purcell,Max Purcell, 2 - 0 Max Purcell 
Nuno Borges,Jack Draper,Jack Draper,Jack Draper, 2 - 0 Jack Draper 
